ID,classe,numero,descricao,incidente id,data atualizacao,descricao atualizacao,emails,url
34,ADI,6342,PDT contra 12 artigos da MP 927 trabalhista corona,5880968,15/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5880968
35,ADI,6343,Rede contra MP 926 de restrição transporte e pessoas,5881008,16/04/2020,Incluído no calendário de julgamento pelo Presidente,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881008
36,HC,143641,Liberação de gravidas e mães; Lewas pediu dados corona,5183497,16/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5183497
37,ACO,3365,Bahia pede suspensao dividas Uniao corona,5880757,14/04/2020,Intimação eletrônica disponibilizada,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5880757
38,ACO,3363,SP pede suspensao dividas Uniao corona,5880014,15/04/2020,Indeferido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5880014
39,ADPF,662,AGU contra aumento BPC,5880970,15/04/2020,Interposto agravo regimental,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5880970
40,ADPF,663,AGU pede suspensao caducar MP por 30 dias,5881118,16/04/2020,Deferido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881118
41,ACO,3366,Maranhao pede suspensao divida uniao Corona,5881089,15/04/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881089
42,ADI,6341,PDT contra MP 926 de restricao transporte,5880765,16/04/2020,"Publicação, DJE",imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5880765
43,ADI,6344,Rede contra artigos da MP 927 trabalhista corona,5881143,15/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881143
44,ADI,6345,Anadep pacote anticrime,5881168,24/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881168
45,ADI,6346,Confederacao metalurgicos MP 927 trabalhista,5881206,16/04/2020,Juntada,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881206
46,ACO,3367,Paraná pede suspensao divida Corona,5881594,15/04/2020,Indeferido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881594
47,ADI,6347,"Rede contra MP 928, LAI",5881595,16/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881595
48,ADI,6348,PSB contra MP 927 trabalhista,5881596,16/04/2020,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881596
49,ADI,6351,"OAB contra MP 928, LAI",5881853,16/04/2020,Juntada do mandado cumprido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881853
50,Pet,8743,Municipio Rj suspender dividas corona,5881660,14/04/2020,Manifestação da PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881660
51,Pet,8744,Dep Reginaldo Lopes noticia-crime Bolso crime sanitario,5881922,16/04/2020,Vista à PGR,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881922
52,ADI,6352,Solidariedade contra MP 927 trabalhista,5881916,15/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5881916
53,ACO,3368,Paraiba pede suspensão dívida corona,5882113,15/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882113
54,ACO,3369,Pernambuco pede suspensao divida corona,5882452,15/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882452
55,ACO,3370,Santa Catarina pede suspensao divida corona,5882780,14/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882780
56,ADI,6353,PSB contra a MP 928 LAI,5882447,15/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882447
57,ADI,6354,CNTI contra MP 927 trabalhista,5882545,15/04/2020,Petição,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882545
58,ADPF,665,CNT contra 927 - suspender decretos de gov e prefeitos,5882713,16/04/2020,Indeferido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882713
59,ADPF,666,Locadoras contra decretos atividade essencial,5882896,15/04/2020,Vista à PGR para fins de intimação,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5882896
60,ADI,6357,AGU pede suspender LRF e LDO,5883343,15/04/2020,Expedido(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883343
61,ACO,3372,AC suspensao dividas corona,5883177,16/04/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883177
62,ACO,3373,PA pede suspensão da dívida,5883707,14/04/2020,Juntada do mandado cumprido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883707
63,ACO,3374,AL pede suspensao da divida,5883931,14/04/2020,Juntada do mandado cumprido,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883931
64,ACO,3371,MS suspensao dividas corona,5883176,14/04/2020,Intimação eletrônica disponibilizada,imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883176
65,ADI,6358,confederação servidores públicos contra lei que permite militares no serviço vivo,5883573,27/03/2020,Conclusos ao(à) Relator(a),imcamilafranco@gmail.com,http://portal.stf.jus.br/processos/detalhe.asp?incidente=5883573
